unit_id,region,year,average_monthly_wage_pln,attribute_id
030200000000,DOLNOŚLĄSKIE,2015,4093.0,1
030200000000,DOLNOŚLĄSKIE,2016,4312.0,1
030200000000,DOLNOŚLĄSKIE,2017,4612.0,1
030200000000,DOLNOŚLĄSKIE,2018,4943.0,1
030200000000,DOLNOŚLĄSKIE,2019,5394.0,1
030200000000,DOLNOŚLĄSKIE,2020,5675.0,1
030200000000,DOLNOŚLĄSKIE,2021,6309.0,1
030200000000,DOLNOŚLĄSKIE,2022,7183.0,1
030200000000,DOLNOŚLĄSKIE,2023,8053.0,1
040400000000,KUJAWSKO-POMORSKIE,2015,3285.0,1
040400000000,KUJAWSKO-POMORSKIE,2016,3443.0,1
040400000000,KUJAWSKO-POMORSKIE,2017,3676.0,1
040400000000,KUJAWSKO-POMORSKIE,2018,3931.0,1
040400000000,KUJAWSKO-POMORSKIE,2019,4389.0,1
040400000000,KUJAWSKO-POMORSKIE,2020,4472.0,1
040400000000,KUJAWSKO-POMORSKIE,2021,5075.0,1
040400000000,KUJAWSKO-POMORSKIE,2022,5673.0,1
040400000000,KUJAWSKO-POMORSKIE,2023,6442.0,1
060600000000,LUBELSKIE,2015,3348.0,1
060600000000,LUBELSKIE,2016,3462.0,1
060600000000,LUBELSKIE,2017,3694.0,1
060600000000,LUBELSKIE,2018,3933.0,1
060600000000,LUBELSKIE,2019,4152.0,1
060600000000,LUBELSKIE,2020,4326.0,1
060600000000,LUBELSKIE,2021,4824.0,1
060600000000,LUBELSKIE,2022,5425.0,1
060600000000,LUBELSKIE,2023,6190.0,1
020800000000,LUBUSKIE,2015,3230.0,1
020800000000,LUBUSKIE,2016,3450.0,1
020800000000,LUBUSKIE,2017,3752.0,1
020800000000,LUBUSKIE,2018,4042.0,1
020800000000,LUBUSKIE,2019,4272.0,1
020800000000,LUBUSKIE,2020,4512.0,1
020800000000,LUBUSKIE,2021,5073.0,1
020800000000,LUBUSKIE,2022,5937.0,1
020800000000,LUBUSKIE,2023,6667.0,1
071400000000,MAZOWIECKIE,2015,5044.0,1
071400000000,MAZOWIECKIE,2016,5215.0,1
071400000000,MAZOWIECKIE,2017,5518.0,1
071400000000,MAZOWIECKIE,2018,5988.0,1
071400000000,MAZOWIECKIE,2019,6334.0,1
071400000000,MAZOWIECKIE,2020,6643.0,1
071400000000,MAZOWIECKIE,2021,7254.0,1
071400000000,MAZOWIECKIE,2022,8194.0,1
071400000000,MAZOWIECKIE,2023,9231.0,1
011200000000,MAŁOPOLSKIE,2015,3803.0,1
011200000000,MAŁOPOLSKIE,2016,3972.0,1
011200000000,MAŁOPOLSKIE,2017,4325.0,1
011200000000,MAŁOPOLSKIE,2018,4699.0,1
011200000000,MAŁOPOLSKIE,2019,5143.0,1
011200000000,MAŁOPOLSKIE,2020,5432.0,1
011200000000,MAŁOPOLSKIE,2021,6053.0,1
011200000000,MAŁOPOLSKIE,2022,6879.0,1
011200000000,MAŁOPOLSKIE,2023,7843.0,1
